"N1","N2","POS1","POS2","Freq"
"間違い","ホワイト","名詞-名詞","ナイ形容詞語幹-一般",1
"間違い","最後","名詞-名詞","ナイ形容詞語幹-一般",1
"間違い","世界","名詞-名詞","ナイ形容詞語幹-一般",1
"間違い","鳥取","名詞-名詞","ナイ形容詞語幹-固有名詞",1
"間違い","万能","名詞-名詞","ナイ形容詞語幹-一般",1
"間違う","いる","動詞-動詞","自立-非自立",1
"間違う","タグ","動詞-名詞","自立-一般",1
"間違う","使い方","動詞-名詞","自立-一般",1
"間違える","られる","動詞-動詞","自立-接尾",1
"間隔","1","名詞-名詞","一般-数",1
"間隔","できる","名詞-動詞","一般-自立",1
"間隔","広い","名詞-形容詞","一般-自立",1
"間口","広い","名詞-形容詞","一般-自立",1
"関","?","名詞-名詞","固有名詞-サ変接続",1
"関","アンバサダー","名詞-名詞","接尾-一般",1
"関","安田","名詞-名詞","接尾-固有名詞",1
"関","石浦","名詞-名詞","接尾-固有名詞",1
"関わり","もつ","名詞-動詞","一般-自立",1
"関わり","求める","名詞-動詞","一般-自立",1
"関わり","深い","名詞-形容詞","一般-自立",1
"関わる","くる","動詞-動詞","自立-非自立",1
"関わる","維持","動詞-名詞","自立-サ変接続",1
"関わる","応募","動詞-名詞","自立-サ変接続",1
"関わる","皆様","動詞-名詞","自立-一般",1
"関わる","再編","動詞-名詞","自立-サ変接続",1
"関わる","者","動詞-名詞","自立-非自立",1
"関わる","症状","動詞-名詞","自立-一般",1
"関わる","生産","動詞-名詞","自立-サ変接続",1
"関わる","方々","動詞-名詞","自立-一般",1
"関わる","問題","動詞-名詞","自立-ナイ形容詞語幹",1
"関係","13","名詞-名詞","サ変接続-数",1
"関係","2019","名詞-名詞","サ変接続-数",1
"関係","いる","名詞-動詞","サ変接続-自立",1
"関係","育む","名詞-動詞","サ変接続-自立",1
"関係","因果","名詞-名詞","サ変接続-一般",1
"関係","企業","名詞-名詞","サ変接続-一般",1
"関係","形成","名詞-名詞","サ変接続-サ変接続",1
"関係","現状","名詞-名詞","サ変接続-一般",1
"関係","語る","名詞-動詞","サ変接続-自立",1
"関係","考える","名詞-動詞","サ変接続-自立",1
"関係","国立","名詞-名詞","サ変接続-一般",1
"関係","産業","名詞-名詞","サ変接続-一般",1
"関係","事業","名詞-名詞","サ変接続-一般",1
"関係","終了","名詞-名詞","サ変接続-サ変接続",1
"関係","重視","名詞-名詞","サ変接続-サ変接続",1
"関係","当社","名詞-名詞","サ変接続-一般",1
"関係","府","名詞-名詞","サ変接続-接尾",1
"関係","別","名詞-名詞","サ変接続-一般",1
"関係","明確","名詞-名詞","サ変接続-形容動詞語幹",1
"関心","ある","名詞-動詞","一般-自立",1
"関心","ない","名詞-形容詞","一般-自立",1
"関心","地元","名詞-名詞","一般-一般",1
"関心事","棚卸し","名詞-名詞","一般-サ変接続",1
"関西","圏","名詞-名詞","固有名詞-接尾",1
"関西","都市","名詞-名詞","固有名詞-一般",1
"関西","弁","名詞-名詞","固有名詞-接尾",1
"関節","痛む","名詞-動詞","一般-自立",1
"関東","飲食","名詞-名詞","固有名詞-サ変接続",1
"関連","する","名詞-動詞","サ変接続-自立",1
"関連","デパート","名詞-名詞","サ変接続-一般",1
"関連","リンク","名詞-名詞","サ変接続-サ変接続",1
"関連","影響","名詞-名詞","サ変接続-サ変接続",1
"関連","業","名詞-名詞","サ変接続-接尾",1
"関連","施設","名詞-名詞","サ変接続-サ変接続",1
"関連","事業","名詞-名詞","サ変接続-一般",1
"関連","単純","名詞-名詞","サ変接続-形容動詞語幹",1
"関連","売上","名詞-名詞","サ変接続-一般",1
"陥る","こと","動詞-名詞","自立-非自立",1
"陥る","ボトムアップ","動詞-名詞","自立-一般",1
"陥る","中","動詞-名詞","自立-非自立",1
"陥る","日常","動詞-名詞","自立-一般",1
"韓国","2580","名詞-名詞","固有名詞-数",1
"館","ホームページ","名詞-名詞","接尾-一般",1
"館","開催","名詞-名詞","接尾-サ変接続",1
"館","大山","名詞-名詞","接尾-固有名詞",1
"丸亀","製","名詞-名詞","固有名詞-接尾",1
"含む","4","動詞-名詞","自立-数",1
"含む","いる","動詞-動詞","自立-非自立",1
"含む","せる","動詞-動詞","自立-接尾",1
"含む","グループ","動詞-名詞","自立-一般",1
"含む","コト","動詞-名詞","自立-固有名詞",1
"含む","データ","動詞-名詞","自立-一般",1
"含む","技術","動詞-名詞","自立-一般",1
"含む","上","動詞-名詞","自立-非自立",1
"含む","全国","動詞-名詞","自立-一般",1
"含む","店内","動詞-名詞","自立-一般",1
"含む","不謹慎","動詞-名詞","自立-形容動詞語幹",1
"含む","付与","動詞-名詞","自立-サ変接続",1
"含める","5","動詞-名詞","自立-数",1
"含める","９","動詞-名詞","自立-数",1
"含める","フル","動詞-名詞","自立-形容動詞語幹",1
"含める","メディア","動詞-名詞","自立-一般",1
"含める","国内","動詞-名詞","自立-一般",1
"含める","今","動詞-名詞","自立-副詞可能",1
"含める","再編","動詞-名詞","自立-サ変接続",1
"含める","子供","動詞-名詞","自立-一般",1
"含める","図","動詞-名詞","自立-一般",1
"含める","直接","動詞-名詞","自立-副詞可能",1
"含める","複数","動詞-名詞","自立-一般",1
"玩具","製造","名詞-名詞","一般-サ変接続",1
"岩","アーチ","名詞-名詞","一般-一般",1
"岩井","温泉","名詞-名詞","固有名詞-一般",1
"岩村","様","名詞-名詞","固有名詞-接尾",1
"岩美","ある","名詞-動詞","固有名詞-自立",1
"頑張る","いる","動詞-動詞","自立-非自立",1
"頑張る","みる","動詞-動詞","自立-非自立",1
"頑張る","参る","動詞-動詞","自立-非自立",1
"頑張る","声","動詞-名詞","自立-一般",1
"顔","画面","名詞-名詞","一般-一般",1
"顔","覚える","名詞-動詞","一般-自立",1
"顔","合わせる","名詞-動詞","一般-自立",1
"顔","写真","名詞-名詞","一般-一般",1
"顔","洗う","名詞-動詞","一般-自立",1
"顔","知る","名詞-動詞","一般-自立",1
"顔","背景","名詞-名詞","一般-一般",1
"顔","名前","名詞-名詞","一般-一般",1
"顔ぶれ","なか","名詞-名詞","一般-非自立",1
"顔ぶれ","ランチ","名詞-名詞","一般-一般",1
"願い","込める","名詞-動詞","一般-自立",1
"願う","問題","動詞-名詞","自立-ナイ形容詞語幹",1
"願う","役場","動詞-名詞","自立-一般",1
"願う","融資","動詞-名詞","自立-サ変接続",1
"企画","1","名詞-名詞","サ変接続-数",1
"企画","フィリピン","名詞-名詞","サ変接続-固有名詞",1
"企画","開催","名詞-名詞","サ変接続-サ変接続",1
"企画","救援","名詞-名詞","サ変接続-サ変接続",1
"企画","区","名詞-名詞","サ変接続-一般",1
"企画","設計","名詞-名詞","サ変接続-サ変接続",1
"企画","戦略","名詞-名詞","サ変接続-一般",1
"企画","等","名詞-名詞","サ変接続-接尾",1
"企画","内容","名詞-名詞","サ変接続-一般",1
"企業","2019","名詞-名詞","一般-数",1
"企業","JP","名詞-名詞","一般-一般",1
"企業","Web","名詞-名詞","一般-固有名詞",1
"企業","１","名詞-名詞","一般-数",1
"企業","８","名詞-名詞","一般-数",1
"企業","いう","名詞-動詞","一般-自立",1
"企業","いる","名詞-動詞","一般-自立",1
"企業","お願い","名詞-名詞","一般-サ変接続",1
"企業","する","名詞-動詞","一般-自立",1
"企業","アウトソーシング","名詞-名詞","一般-一般",1
"企業","アンケート","名詞-名詞","一般-一般",1
"企業","イノベーション","名詞-名詞","一般-一般",1
"企業","エンゲージメント","名詞-名詞","一般-一般",1
"企業","エンジニア","名詞-名詞","一般-一般",1
"企業","オーダー","名詞-名詞","一般-サ変接続",1
"企業","オウンドメディア","名詞-名詞","一般-一般",1
"企業","コスト","名詞-名詞","一般-一般",1
"企業","コロナ","名詞-名詞","一般-一般",1
"企業","テーマ","名詞-名詞","一般-一般",1
"企業","トップ","名詞-名詞","一般-一般",1
"企業","ノウハウ","名詞-名詞","一般-一般",1
"企業","ベンチャー","名詞-名詞","一般-一般",1
"企業","ランキング","名詞-名詞","一般-一般",1
"企業","ワコール","名詞-名詞","一般-固有名詞",1
"企業","委託","名詞-名詞","一般-サ変接続",1
"企業","意識","名詞-名詞","一般-サ変接続",1
"企業","違う","名詞-動詞","一般-自立",1
"企業","何","名詞-名詞","一般-代名詞",1
"企業","会社","名詞-名詞","一般-一般",1
"企業","外部","名詞-名詞","一般-一般",1
"企業","活動","名詞-名詞","一般-サ変接続",1
"企業","期待","名詞-名詞","一般-サ変接続",1
"企業","起こす","名詞-動詞","一般-自立",1
"企業","技術","名詞-名詞","一般-一般",1
"企業","求人","名詞-名詞","一般-サ変接続",1
"企業","協力","名詞-名詞","一般-サ変接続",1
"企業","興味","名詞-名詞","一般-一般",1
"企業","銀行","名詞-名詞","一般-一般",1
"企業","継承","名詞-名詞","一般-サ変接続",1
"企業","見受ける","名詞-動詞","一般-自立",1
"企業","向け","名詞-名詞","一般-接尾",1
"企業","考える","名詞-動詞","一般-自立",1
"企業","行政","名詞-名詞","一般-一般",1
"企業","国民","名詞-名詞","一般-一般",1
"企業","今","名詞-名詞","一般-副詞可能",1
"企業","根付く","名詞-動詞","一般-自立",1
"企業","差","名詞-名詞","一般-一般",1
"企業","採用","名詞-名詞","一般-サ変接続",1
"企業","姿勢","名詞-名詞","一般-一般",1
"企業","支える","名詞-動詞","一般-自立",1
"企業","支援","名詞-名詞","一般-サ変接続",1
"企業","時間","名詞-名詞","一般-副詞可能",1
"企業","社員","名詞-名詞","一般-一般",1
"企業","社内","名詞-名詞","一般-一般",1
"企業","取材","名詞-名詞","一般-サ変接続",1
"企業","収入","名詞-名詞","一般-一般",1
"企業","従業","名詞-名詞","一般-サ変接続",1
"企業","出る","名詞-動詞","一般-自立",1
"企業","書く","名詞-動詞","一般-自立",1
"企業","少ない","名詞-形容詞","一般-自立",1
"企業","信奉","名詞-名詞","一般-サ変接続",1
"企業","信頼","名詞-名詞","一般-サ変接続",1
"企業","進出","名詞-名詞","一般-サ変接続",1
"企業","人材","名詞-名詞","一般-一般",1
"企業","推進","名詞-名詞","一般-サ変接続",1
"企業","制","名詞-名詞","一般-サ変接続",1
"企業","説明","名詞-名詞","一般-サ変接続",1
"企業","戦略","名詞-名詞","一般-一般",1
"企業","選考","名詞-名詞","一般-サ変接続",1
"企業","選択肢","名詞-名詞","一般-一般",1
"企業","全国","名詞-名詞","一般-一般",1
"企業","組織","名詞-名詞","一般-サ変接続",1
"企業","増える","名詞-動詞","一般-自立",1
"企業","造り","名詞-名詞","一般-接尾",1
"企業","足りる","名詞-動詞","一般-自立",1
"企業","存亡","名詞-名詞","一般-一般",1
"企業","他","名詞-名詞","一般-非自立",1
"企業","大きい","名詞-形容詞","一般-自立",1
"企業","担当","名詞-名詞","一般-サ変接続",1
"企業","知れる","名詞-動詞","一般-自立",1
"企業","知名度","名詞-名詞","一般-一般",1
"企業","中","名詞-名詞","一般-接尾",1
"企業","超える","名詞-動詞","一般-自立",1
"企業","通用","名詞-名詞","一般-サ変接続",1
"企業","定める","名詞-動詞","一般-自立",1
"企業","提供","名詞-名詞","一般-サ変接続",1
"企業","等","名詞-名詞","一般-接尾",1
"企業","得る","名詞-動詞","一般-自立",1
"企業","特色","名詞-名詞","一般-一般",1
"企業","独自","名詞-名詞","一般-形容動詞語幹",1
"企業","内","名詞-名詞","一般-接尾",1
"企業","二","名詞-名詞","一般-数",1
"企業","熱心","名詞-名詞","一般-形容動詞語幹",1
"企業","納税","名詞-名詞","一般-サ変接続",1
"企業","農業","名詞-名詞","一般-一般",1
"企業","必要","名詞-名詞","一般-形容動詞語幹",1
"企業","評価","名詞-名詞","一般-サ変接続",1
"企業","魅力","名詞-名詞","一般-一般",1
"企業","民事","名詞-名詞","一般-一般",1
"企業","名","名詞-名詞","一般-接尾",1
"企業","名和","名詞-名詞","一般-固有名詞",1
"企業","薬剤師","名詞-名詞","一般-一般",1
"企業","有する","名詞-動詞","一般-自立",1
"企業","様","名詞-名詞","一般-接尾",1
"企業","様々","名詞-名詞","一般-形容動詞語幹",1
"企業","利益","名詞-名詞","一般-一般",1
"企業","労組","名詞-名詞","一般-一般",1
"危","いる","名詞-動詞","一般-自立",1
"危機","ある","名詞-動詞","一般-自立",1
"危機","管理","名詞-名詞","一般-サ変接続",1
"危機","陥る","名詞-動詞","一般-自立",1
"危機","総務","名詞-名詞","一般-一般",1
"危機","直面","名詞-名詞","一般-サ変接続",1
"危機","的","名詞-名詞","一般-接尾",1
"危機","突破","名詞-名詞","一般-サ変接続",1
"危険","ある","名詞-動詞","形容動詞語幹-自立",1
"危険","さらす","名詞-動詞","形容動詞語幹-自立",1
"危険","する","名詞-動詞","形容動詞語幹-自立",1
"危険","ステレオ","名詞-名詞","形容動詞語幹-一般",1
"喜ばしい","こと","形容詞-名詞","自立-非自立",1
"喜び","楽しみ","名詞-名詞","一般-一般",1
"喜ぶ","こと","動詞-名詞","自立-非自立",1
"喜べる","よう","動詞-名詞","自立-非自立",1
"器","好き","名詞-名詞","一般-接尾",1
"器","納期","名詞-名詞","接尾-一般",1
"器官","関わる","名詞-動詞","一般-自立",1
"器具","製造","名詞-名詞","一般-サ変接続",1
"基","IoT","名詞-名詞","一般-一般",1
"基","さん","名詞-名詞","固有名詞-接尾",1
"基","する","名詞-動詞","一般-自立",1
"基","考察","名詞-名詞","一般-サ変接続",1
"基","今","名詞-名詞","一般-副詞可能",1
"基","書く","名詞-動詞","一般-自立",1
"基","都道府県","名詞-名詞","一般-一般",1
"基","報告","名詞-名詞","一般-サ変接続",1
"基","問診","名詞-名詞","一般-サ変接続",1
"基","様々","名詞-名詞","一般-形容動詞語幹",1
"基づく","KPI","動詞-名詞","自立-一般",1
"基づく","の","動詞-名詞","自立-非自立",1
"基づく","意見","動詞-名詞","自立-サ変接続",1
"基づく","学生","動詞-名詞","自立-一般",1
"基づく","給与","動詞-名詞","自立-サ変接続",1
"基づく","見る","動詞-動詞","自立-自立",1
"基づく","国土","動詞-名詞","自立-一般",1
"基づく","私見","動詞-名詞","自立-一般",1
"基づく","組み立てる","動詞-動詞","自立-自立",1
"基づく","鳥取","動詞-名詞","自立-固有名詞",1
"基づく","判断","動詞-名詞","自立-サ変接続",1
"基幹","交通","名詞-名詞","一般-一般",1
"基金","立つ","名詞-動詞","一般-自立",1
"基氏","現在","名詞-名詞","固有名詞-副詞可能",1
"基軸","する","名詞-動詞","一般-自立",1
"基準","する","名詞-動詞","一般-自立",1
"基準","なす","名詞-動詞","一般-自立",1
"基準","なる","名詞-動詞","一般-自立",1
"基準","クリア","名詞-名詞","一般-サ変接続",1
"基準","コミット","名詞-名詞","一般-サ変接続",1
"基準","基づく","名詞-動詞","一般-自立",1
"基準","仕事","名詞-名詞","一般-サ変接続",1
"基準","就職","名詞-名詞","一般-サ変接続",1
"基準","満たす","名詞-動詞","一般-自立",1
"基準","明確","名詞-名詞","一般-形容動詞語幹",1
"基礎","なる","名詞-動詞","一般-自立",1
"基礎","行政","名詞-名詞","一般-一般",1
"基盤","データ","名詞-名詞","一般-一般",1
"基盤","安部","名詞-名詞","一般-固有名詞",1
"基盤","証明","名詞-名詞","一般-サ変接続",1
"基本","業務","名詞-名詞","一般-一般",1
"基本","計画","名詞-名詞","一般-サ変接続",1
"基本","縦","名詞-名詞","一般-一般",1
"基本","操作","名詞-名詞","一般-サ変接続",1
"基本","台帳","名詞-名詞","一般-一般",1
"基本","当たる","名詞-動詞","一般-自立",1
"基本","内定","名詞-名詞","一般-サ変接続",1
"基本","報酬","名詞-名詞","一般-一般",1
"奇跡","出会い","名詞-名詞","一般-一般",1
"奇跡","紹介","名詞-名詞","一般-サ変接続",1
"奇跡","同志","名詞-名詞","一般-一般",1
"奇妙","事件","名詞-名詞","形容動詞語幹-一般",1
"嬉しい","こと","形容詞-名詞","自立-非自立",1
"嬉しい","さ","形容詞-名詞","自立-接尾",1
"嬉しい","どこ","形容詞-名詞","自立-代名詞",1
"嬉しい","の","形容詞-名詞","自立-非自立",1
"嬉しい","ラーメン","形容詞-名詞","自立-一般",1
"嬉しい","思う","形容詞-動詞","自立-自立",1
"嬉しい","私","形容詞-名詞","自立-代名詞",1
"嬉しい","自己","形容詞-名詞","自立-一般",1
"嬉しい","笑","形容詞-名詞","自立-固有名詞",1
"嬉しい","二","形容詞-名詞","自立-数",1
"寄せる","くださる","動詞-動詞","自立-非自立",1
"寄り添う","それら","動詞-名詞","自立-代名詞",1
"寄り添う","チャレンジ","動詞-名詞","自立-サ変接続",1
"寄り添う","ビジネスチャットツール","動詞-名詞","自立-一般",1
"寄り添う","個別","動詞-名詞","自立-形容動詞語幹",1
"寄り添う","産業","動詞-名詞","自立-一般",1
"寄り添う","柔軟","動詞-名詞","自立-形容動詞語幹",1
"寄る","いう","動詞-動詞","自立-自立",1
"寄る","しまう","動詞-動詞","自立-非自立",1
"寄稿","頂く","名詞-動詞","サ変接続-自立",1
"寄付","お礼","名詞-名詞","サ変接続-サ変接続",1
"希少","資源","名詞-名詞","一般-一般",1
"希望","なる","名詞-動詞","サ変接続-自立",1
"希望","よう","名詞-名詞","サ変接続-非自立",1
"希望","データ","名詞-名詞","サ変接続-一般",1
"希望","一部","名詞-名詞","サ変接続-副詞可能",1
"希望","合わせる","名詞-動詞","サ変接続-自立",1
"希望","先","名詞-名詞","サ変接続-接尾",1
"希望","想い","名詞-名詞","サ変接続-一般",1
"希望","二","名詞-名詞","サ変接続-数",1
"希望","浮かび上がる","名詞-動詞","サ変接続-自立",1
"幾何","的","名詞-名詞","一般-接尾",1
"揮発","油","名詞-名詞","サ変接続-接尾",1
"机","使い分ける","名詞-動詞","一般-自立",1
"机","授業","名詞-名詞","一般-サ変接続",1
"机上","比較","名詞-名詞","一般-サ変接続",1
"既存","やり方","名詞-名詞","サ変接続-一般",1
"既存","ビジネス","名詞-名詞","サ変接続-一般",1
"既存","企業","名詞-名詞","サ変接続-一般",1
"既存","産業","名詞-名詞","サ変接続-一般",1
"既存","掃除","名詞-名詞","サ変接続-サ変接続",1
"既存","枠組み","名詞-名詞","サ変接続-一般",1
"既得","権益","名詞-名詞","一般-一般",1
"期","6","名詞-名詞","接尾-数",1
"期","ある","名詞-動詞","接尾-自立",1
"期","かん","名詞-名詞","接尾-一般",1
"期","過ごす","名詞-動詞","接尾-自立",1
"期","支える","名詞-動詞","接尾-自立",1
"期","商品","名詞-名詞","接尾-一般",1
"期","青年","名詞-名詞","接尾-一般",1
"期","鳥取","名詞-名詞","接尾-固有名詞",1
"期","背景","名詞-名詞","接尾-一般",1
"期","売上","名詞-名詞","接尾-一般",1
"期","務める","名詞-動詞","接尾-自立",1
"期間","4","名詞-名詞","一般-数",1
"期間","２","名詞-名詞","一般-数",1
"期間","ＧＷ","名詞-名詞","一般-一般",1
"期間","ある","名詞-動詞","一般-自立",1
"期間","インプット","名詞-名詞","一般-サ変接続",1
"期間","オイルショック","名詞-名詞","一般-一般",1
"期間","育児","名詞-名詞","一般-サ変接続",1
"期間","一致","名詞-名詞","一般-サ変接続",1
"期間","延長","名詞-名詞","一般-サ変接続",1
"期間","過ごす","名詞-動詞","一般-自立",1
"期間","楽しめる","名詞-動詞","一般-自立",1
"期間","業務","名詞-名詞","一般-一般",1
"期間","止まる","名詞-動詞","一般-自立",1
"期間","自身","名詞-名詞","一般-一般",1
"期間","春先","名詞-名詞","一般-副詞可能",1
"期間","増加","名詞-名詞","一般-サ変接続",1
"期間","捉える","名詞-動詞","一般-自立",1
"期間","長い","名詞-形容詞","一般-自立",1
"期間","平均","名詞-名詞","一般-サ変接続",1
"期間","要する","名詞-動詞","一般-自立",1
"期間","令","名詞-名詞","一般-一般",1
"期間","令","名詞-名詞","一般-接尾",1
"期限","7","名詞-名詞","一般-数",1
"期限","ギリギリ","名詞-名詞","一般-形容動詞語幹",1
"期限","厳しい","名詞-形容詞","一般-自立",1
"期限","手元","名詞-名詞","一般-一般",1
"期限","電子","名詞-名詞","一般-一般",1
"期限","内","名詞-名詞","一般-接尾",1
"期限","必要","名詞-名詞","一般-形容動詞語幹",1
"期限","令","名詞-名詞","一般-接尾",1
"期生","入校","名詞-名詞","接尾-サ変接続",1
"期待","できる","名詞-動詞","サ変接続-自立",1
"期待","応える","名詞-動詞","サ変接続-自立",1
"期待","具体","名詞-名詞","サ変接続-一般",1
"機","ほうき","名詞-名詞","接尾-一般",1
"機会","ある","名詞-動詞","一般-自立",1
"機会","どれ","名詞-名詞","一般-代名詞",1
"機会","ゲーム","名詞-名詞","一般-一般",1
"機会","狭める","名詞-動詞","一般-自立",1
"機会","減少","名詞-名詞","一般-サ変接続",1
"機会","高校生","名詞-名詞","一般-一般",1
"機会","自然","名詞-名詞","一般-形容動詞語幹",1
"機会","制限","名詞-名詞","一般-サ変接続",1
"機会","増やす","名詞-動詞","一般-自立",1
"機会","増加","名詞-名詞","一般-サ変接続",1
"機会","挑戦","名詞-名詞","一般-サ変接続",1
"機会","得る","名詞-動詞","一般-自立",1
"機会","用意","名詞-名詞","一般-サ変接続",1
"機会","利用","名詞-名詞","一般-サ変接続",1
"機械","かざす","名詞-動詞","一般-自立",1
"機械","やる","名詞-動詞","一般-自立",1
"機械","化","名詞-名詞","一般-接尾",1
"機械","器具","名詞-名詞","一般-一般",1
"機械","効率","名詞-名詞","一般-一般",1
"機械","時代","名詞-名詞","一般-一般",1
"機械","製造","名詞-名詞","一般-サ変接続",1
"機械","電力","名詞-名詞","一般-一般",1
"機械","部品","名詞-名詞","一般-一般",1
"機械","分野","名詞-名詞","一般-一般",1
"機関","IT","名詞-名詞","一般-固有名詞",1
"機関","安心","名詞-名詞","一般-サ変接続",1
"機関","移動","名詞-名詞","一般-サ変接続",1
"機関","運転","名詞-名詞","一般-サ変接続",1
"機関","行う","名詞-動詞","一般-自立",1
"機関","今","名詞-名詞","一般-副詞可能",1
"機関","支援","名詞-名詞","一般-サ変接続",1
"機関","就職","名詞-名詞","一般-サ変接続",1
"機関","大型","名詞-名詞","一般-一般",1
"機関","長期","名詞-名詞","一般-一般",1
"機関","登場","名詞-名詞","一般-サ変接続",1
"機関","等","名詞-名詞","一般-接尾",1
"機関","報う","名詞-動詞","一般-自立",1
"機器","メーカー","名詞-名詞","一般-一般",1
"機器","扱い","名詞-名詞","一般-サ変接続",1
"機器","機械","名詞-名詞","一般-一般",1
"機器","等","名詞-名詞","一般-接尾",1
"機構","ＮＰＯ","名詞-名詞","一般-一般",1
"機構","サポート","名詞-名詞","一般-サ変接続",1
"機構","データ","名詞-名詞","一般-一般",1
"機構","監修","名詞-名詞","一般-サ変接続",1
"機構","記事","名詞-名詞","一般-一般",1
"機構","公表","名詞-名詞","一般-サ変接続",1
"機構","西伯","名詞-名詞","一般-固有名詞",1
"機構","板持","名詞-名詞","一般-固有名詞",1
"機種","様々","名詞-名詞","一般-形容動詞語幹",1
"機動","力","名詞-名詞","一般-接尾",1
"機能","zoom","名詞-名詞","サ変接続-一般",1
"機能","すごい","名詞-形容詞","サ変接続-自立",1
"機能","デザイン","名詞-名詞","サ変接続-サ変接続",1
"機能","影響","名詞-名詞","サ変接続-サ変接続",1
"機能","加える","名詞-動詞","サ変接続-自立",1
"機能","果たす","名詞-動詞","サ変接続-自立",1
"機能","学校","名詞-名詞","サ変接続-一般",1
"機能","活用","名詞-名詞","サ変接続-サ変接続",1
"機能","決める","名詞-動詞","サ変接続-自立",1
"機能","向上","名詞-名詞","サ変接続-サ変接続",1
"機能","高い","名詞-形容詞","サ変接続-自立",1
"機能","使う","名詞-動詞","サ変接続-自立",1
"機能","持つ","名詞-動詞","サ変接続-自立",1
"機能","自動","名詞-名詞","サ変接続-一般",1
"機能","情報","名詞-名詞","サ変接続-一般",1
"機能","性","名詞-名詞","サ変接続-接尾",1
"機能","生まれる","名詞-動詞","サ変接続-自立",1
"機能","多く","名詞-名詞","サ変接続-副詞可能",1
"機能","配信","名詞-名詞","サ変接続-サ変接続",1
"機能","非常","名詞-名詞","サ変接続-形容動詞語幹",1
"機能","備わる","名詞-動詞","サ変接続-自立",1
"機能","付き","名詞-名詞","サ変接続-接尾",1
"機能","分化","名詞-名詞","サ変接続-サ変接続",1
"機密","情報","名詞-名詞","一般-一般",1
"帰","鳥","名詞-名詞","サ変接続-一般",1
"帰る","帰れる","動詞-動詞","自立-自立",1
"帰る","子ども","動詞-名詞","自立-一般",1
"帰る","手","動詞-名詞","自立-一般",1
"帰れる","考える","動詞-動詞","自立-自立",1
"帰れる","都会","動詞-名詞","自立-一般",1
"帰郷","する","名詞-動詞","サ変接続-自立",1
"帰着","する","名詞-動詞","サ変接続-自立",1
"気","つける","名詞-動詞","一般-自立",1
"気","なる","名詞-動詞","非自立-自立",1
"気","緩める","名詞-動詞","一般-自立",1
"気","抜く","名詞-動詞","一般-自立",1
"気","抜ける","名詞-動詞","一般-自立",1
"気","付き","名詞-名詞","一般-接尾",1
"気","雰囲気","名詞-名詞","非自立-一般",1
"気がつく","社会","動詞-名詞","自立-一般",1
"気づく","ある","動詞-動詞","自立-自立",1
"気づく","これら","動詞-名詞","自立-代名詞",1
"気づく","せる","動詞-動詞","自立-接尾",1
"気づく","なる","動詞-動詞","自立-自立",1
"気づく","ほしい","動詞-形容詞","自立-非自立",1
"気づく","高校生","動詞-名詞","自立-一般",1
"気づく","仕事","動詞-名詞","自立-サ変接続",1
"気づく","生活","動詞-名詞","自立-サ変接続",1
"気づく","通る","動詞-動詞","自立-自立",1
"気づく","点","動詞-名詞","自立-一般",1
"気鋭","あふれる","名詞-動詞","形容動詞語幹-自立",1
"気温","降水","名詞-名詞","一般-一般",1
"気軽","行ける","名詞-動詞","形容動詞語幹-自立",1
"気軽","使う","名詞-動詞","形容動詞語幹-自立",1
"気軽","連絡","名詞-名詞","形容動詞語幹-サ変接続",1
"気軽い","さ","形容詞-名詞","自立-接尾",1
"気候","ため","名詞-名詞","一般-非自立",1
"気候","変わる","名詞-動詞","一般-自立",1
"気持ち","ある","名詞-動詞","一般-自立",1
"気持ち","なる","名詞-動詞","一般-自立",1
"気持ち","補助","名詞-名詞","一般-サ変接続",1
"気持ちよい","大皿","形容詞-名詞","自立-一般",1
"気象庁","データ","名詞-名詞","固有名詞-一般",1
"気付く","づらい","動詞-形容詞","自立-非自立",1
"気付く","内","動詞-名詞","自立-非自立",1
"気分","転換","名詞-名詞","一般-サ変接続",1
"気味","日々","名詞-名詞","接尾-副詞可能",1
"汽車","使う","名詞-動詞","一般-自立",1
"汽車","電車","名詞-名詞","一般-一般",1
"季節","異なる","名詞-動詞","一般-自立",1
"季節","的","名詞-名詞","一般-接尾",1
"規制","ない","名詞-形容詞","サ変接続-自立",1
"規制","緩和","名詞-名詞","サ変接続-サ変接続",1
"規制","厳しい","名詞-形容詞","サ変接続-自立",1
"規制","知る","名詞-動詞","サ変接続-自立",1
"規制","知識","名詞-名詞","サ変接続-一般",1
"規制","旅行","名詞-名詞","サ変接続-サ変接続",1
"規定","する","名詞-動詞","サ変接続-自立",1
"規定","私","名詞-名詞","サ変接続-代名詞",1
"規模","1100","名詞-名詞","一般-数",1
"規模","2018","名詞-名詞","一般-数",1
"規模","2019","名詞-名詞","一般-数",1
"規模","ある","名詞-動詞","一般-自立",1
"規模","アメリカ","名詞-名詞","一般-固有名詞",1
"規模","イン","名詞-名詞","一般-一般",1
"規模","チェーン","名詞-名詞","一般-一般",1
"規模","トップ","名詞-名詞","一般-一般",1
"規模","割","名詞-名詞","一般-一般",1
"規模","感","名詞-名詞","一般-接尾",1
"規模","校","名詞-名詞","一般-接尾",1
"規模","考える","名詞-動詞","一般-自立",1
"規模","高齢","名詞-名詞","一般-一般",1
"規模","実施","名詞-名詞","一般-サ変接続",1
"規模","推定","名詞-名詞","一般-サ変接続",1
"規模","町","名詞-名詞","一般-一般",1
"規模","都市","名詞-名詞","一般-一般",1
